Log file: D:\Mine\Mani\ManiCSDP\Numerical Experiment\results_overnight_safe\bqp_d20_rng1.txt
Case started at: 2026-05-04 02:45:47
========== BQP complex d=20 rng(1) ==========

=== ManiCSDP_unitdiag (complex SDP) ===
ManiCSDP is starting...
CSDP size: n = 861, m = 621320
Iter 1, obj:-86.04630287, gap:1.0e+00, pinf:5.6e+02, dinf:5.2e-02, gradnorm:2.7e+01, r:2, p:2, sigma:0.001, time:0.54s
Iter 2, obj:-223.52650813, gap:1.0e+00, pinf:4.5e+02, dinf:1.1e-02, gradnorm:5.4e+01, r:10, p:10, sigma:0.002, time:1.28s
Iter 3, obj:-173.40196571, gap:1.0e+00, pinf:2.5e+02, dinf:8.3e-03, gradnorm:8.7e+00, r:18, p:18, sigma:0.004, time:2.19s
Iter 4, obj:-117.54366008, gap:1.0e+00, pinf:1.5e+02, dinf:8.8e-03, gradnorm:3.4e+01, r:26, p:26, sigma:0.008, time:3.13s
Iter 5, obj:-88.74243286, gap:6.3e-01, pinf:7.3e+01, dinf:5.7e-02, gradnorm:3.2e+01, r:34, p:34, sigma:0.016, time:4.43s
Iter 6, obj:-89.24132476, gap:1.6e-02, pinf:3.4e+01, dinf:7.4e-03, gradnorm:7.5e+00, r:42, p:42, sigma:0.032, time:6.13s
Iter 7, obj:-91.28522294, gap:4.1e-02, pinf:1.3e+01, dinf:4.0e-02, gradnorm:1.3e+01, r:50, p:50, sigma:0.064, time:8.66s
Iter 8, obj:-91.74434844, gap:1.4e-02, pinf:6.2e+00, dinf:3.9e-03, gradnorm:5.2e+00, r:58, p:58, sigma:0.128, time:11.26s
Iter 9, obj:-91.99531796, gap:1.3e-02, pinf:2.9e+00, dinf:7.3e-03, gradnorm:1.3e+01, r:66, p:66, sigma:0.256, time:14.46s
Iter 10, obj:-92.54727604, gap:3.9e-04, pinf:4.8e+00, dinf:5.4e-03, gradnorm:4.8e+00, r:73, p:74, sigma:0.128, time:17.10s
Iter 11, obj:-92.82723984, gap:5.8e-05, pinf:4.3e+00, dinf:2.9e-03, gradnorm:2.9e+00, r:79, p:81, sigma:0.064, time:19.40s
Iter 12, obj:-93.23447650, gap:1.3e-03, pinf:2.6e+00, dinf:5.0e-03, gradnorm:3.6e+00, r:83, p:87, sigma:0.128, time:23.07s
Iter 13, obj:-94.33161591, gap:4.1e-03, pinf:5.5e+00, dinf:3.7e-03, gradnorm:3.2e+00, r:87, p:91, sigma:0.064, time:27.26s
