========================================
QS complex  d=20  N=861  rng(1)
Started: 2026-05-10 03:05:49
========================================

--- 生成约束矩阵 ---
qsmom_complex: n=861, m=606452 (5220.39s)
convertCtoR:   n_r=1722, m_r=606452

--- ManiCSDP (complex SDP) ---
ManiCSDP is starting...
CSDP size: n = 861, m = 606452
Iter 1, obj:-1576.05137721, gap:1.0e+00, pinf:2.7e+01, dinf:9.5e-01, gradnorm:7.9e+02, r:1, p:1, sigma:1.000, time:0.56s
Iter 2, obj:-34819.97720195, gap:1.0e+00, pinf:8.0e+01, dinf:7.9e-01, gradnorm:6.6e+02, r:7, p:7, sigma:1.000, time:1.31s
Iter 3, obj:-17523.54371206, gap:1.0e+00, pinf:3.6e+01, dinf:7.0e-01, gradnorm:4.9e+02, r:13, p:13, sigma:2.000, time:1.96s
Iter 4, obj:-17176.29728651, gap:1.0e+00, pinf:2.9e+01, dinf:6.3e-01, gradnorm:8.3e+02, r:19, p:19, sigma:4.000, time:2.78s
Iter 5, obj:-13780.75524527, gap:1.0e+00, pinf:2.5e+01, dinf:5.4e-01, gradnorm:8.6e+02, r:25, p:25, sigma:4.000, time:3.55s
Iter 6, obj:-8363.40975452, gap:9.9e-01, pinf:1.6e+01, dinf:6.1e-01, gradnorm:6.3e+02, r:31, p:31, sigma:4.000, time:4.24s
Iter 7, obj:-21644.83564889, gap:9.9e-01, pinf:3.2e+01, dinf:4.8e-01, gradnorm:9.2e+02, r:37, p:37, sigma:4.000, time:4.93s
Iter 8, obj:-9072.30718890, gap:9.7e-01, pinf:1.7e+01, dinf:5.0e-01, gradnorm:9.3e+02, r:43, p:43, sigma:4.000, time:5.66s
Iter 9, obj:-11371.16814680, gap:9.7e-01, pinf:2.1e+01, dinf:5.6e-01, gradnorm:1.0e+03, r:49, p:49, sigma:4.000, time:6.39s
Iter 10, obj:-13523.94530467, gap:9.7e-01, pinf:2.4e+01, dinf:6.3e-01, gradnorm:1.7e+03, r:55, p:55, sigma:4.000, time:7.16s
Iter 11, obj:-6823.27735788, gap:9.5e-01, pinf:1.2e+01, dinf:2.0e-01, gradnorm:4.2e+02, r:61, p:61, sigma:4.000, time:7.86s
Iter 12, obj:-4667.49845485, gap:9.3e-01, pinf:8.4e+00, dinf:1.7e-01, gradnorm:2.8e+02, r:67, p:67, sigma:4.000, time:8.53s
Iter 13, obj:-6619.11225401, gap:9.5e-01, pinf:1.2e+01, dinf:1.3e-01, gradnorm:2.6e+02, r:73, p:73, sigma:4.000, time:9.18s
Iter 14, obj:-5487.61927994, gap:9.5e-01, pinf:1.0e+01, dinf:9.0e-02, gradnorm:1.7e+02, r:79, p:79, sigma:4.000, time:9.94s
Iter 15, obj:-2771.51712494, gap:8.7e-01, pinf:6.0e+00, dinf:1.9e-01, gradnorm:5.2e+02, r:85, p:85, sigma:8.000, time:10.84s
Iter 16, obj:-861.65354646, gap:6.5e-01, pinf:1.8e+00, dinf:7.5e-02, gradnorm:9.6e+01, r:91, p:91, sigma:8.000, time:11.65s
Iter 17, obj:-488.75301522, gap:4.9e-01, pinf:1.9e+00, dinf:1.8e-02, gradnorm:5.6e+01, r:97, p:97, sigma:8.000, time:12.74s
Iter 18, obj:-209.95122689, gap:1.7e-01, pinf:1.0e+00, dinf:9.6e-04, gradnorm:1.7e+01, r:88, p:103, sigma:8.000, time:14.17s
Iter 19, obj:-161.66864493, gap:1.5e-01, pinf:8.1e-01, dinf:7.0e-02, gradnorm:3.7e+01, r:88, p:94, sigma:16.000, time:15.21s
Iter 20, obj:-11.09291474, gap:8.2e-01, pinf:3.2e-01, dinf:1.7e-05, gradnorm:1.2e-01, r:12, p:89, sigma:16.000, time:17.63s
Iter 21, obj:-8.01715843, gap:8.6e-01, pinf:1.9e-01, dinf:6.0e-03, gradnorm:3.6e+00, r:12, p:13, sigma:32.000, time:18.79s
Iter 22, obj:-13.36862291, gap:7.6e-01, pinf:1.5e-01, dinf:1.7e-02, gradnorm:3.0e+00, r:17, p:18, sigma:64.000, time:19.78s
Iter 23, obj:-22.84327029, gap:5.8e-01, pinf:1.3e-01, dinf:4.7e-02, gradnorm:7.0e+00, r:23, p:23, sigma:128.000, time:20.67s
Iter 24, obj:-37.83881111, gap:3.4e-01, pinf:1.2e-01, dinf:7.0e-02, gradnorm:1.0e+01, r:29, p:29, sigma:128.000, time:21.52s
Iter 25, obj:-49.99786105, gap:1.9e-01, pinf:1.2e-01, dinf:8.7e-02, gradnorm:1.3e+01, r:35, p:35, sigma:128.000, time:22.37s
Iter 26, obj:-117.25681193, gap:2.0e-01, pinf:3.5e-01, dinf:6.2e-02, gradnorm:4.0e+01, r:41, p:41, sigma:64.000, time:23.35s
Iter 27, obj:-122.88210438, gap:1.9e-01, pinf:3.5e-01, dinf:3.8e-02, gradnorm:2.7e+01, r:47, p:47, sigma:32.000, time:24.41s
Iter 28, obj:-128.43930157, gap:2.1e-01, pinf:3.5e-01, dinf:2.1e-02, gradnorm:2.2e+01, r:53, p:53, sigma:32.000, time:25.72s
Iter 29, obj:-71.73947829, gap:6.8e-02, pinf:1.7e-01, dinf:1.6e-02, gradnorm:1.3e+01, r:59, p:59, sigma:32.000, time:26.96s
Iter 30, obj:-81.45638489, gap:4.6e-03, pinf:2.0e-01, dinf:8.0e-03, gradnorm:7.9e+00, r:65, p:65, sigma:32.000, time:28.10s
Iter 31, obj:-61.79447254, gap:1.3e-01, pinf:1.3e-01, dinf:9.4e-03, gradnorm:9.5e+00, r:71, p:71, sigma:32.000, time:29.30s
Iter 32, obj:-46.68802858, gap:2.5e-01, pinf:1.2e-01, dinf:1.1e-02, gradnorm:1.1e+01, r:77, p:77, sigma:32.000, time:30.49s
Iter 33, obj:-41.74104307, gap:2.9e-01, pinf:1.1e-01, dinf:1.1e-02, gradnorm:3.6e+00, r:83, p:83, sigma:32.000, time:31.60s
Iter 34, obj:-51.38584581, gap:1.9e-01, pinf:9.8e-02, dinf:9.7e-03, gradnorm:3.1e+00, r:89, p:89, sigma:32.000, time:32.72s
Iter 35, obj:-60.84255569, gap:1.0e-01, pinf:9.3e-02, dinf:6.0e-03, gradnorm:3.2e+00, r:91, p:95, sigma:32.000, time:34.01s
Iter 36, obj:-54.56107736, gap:1.5e-01, pinf:7.3e-02, dinf:9.4e-04, gradnorm:1.1e-01, r:88, p:97, sigma:32.000, time:37.08s
Iter 37, obj:-56.97701753, gap:1.2e-01, pinf:5.8e-02, dinf:5.2e-03, gradnorm:5.8e-01, r:90, p:94, sigma:64.000, time:39.77s
Iter 38, obj:-57.52968872, gap:1.0e-01, pinf:5.2e-02, dinf:1.3e-02, gradnorm:8.7e-01, r:96, p:96, sigma:128.000, time:42.43s
Iter 39, obj:-56.87784301, gap:8.5e-02, pinf:4.5e-02, dinf:2.9e-02, gradnorm:2.3e+00, r:102, p:102, sigma:256.000, time:44.55s
Iter 40, obj:-57.11459363, gap:6.7e-02, pinf:4.4e-02, dinf:3.6e-02, gradnorm:5.4e+00, r:108, p:108, sigma:256.000, time:46.71s
Iter 41, obj:-65.36082668, gap:9.9e-03, pinf:6.7e-02, dinf:2.8e-02, gradnorm:1.1e+01, r:114, p:114, sigma:128.000, time:48.06s
Iter 42, obj:-64.45439359, gap:4.0e-03, pinf:8.1e-02, dinf:2.2e-02, gradnorm:5.8e+00, r:120, p:120, sigma:64.000, time:49.35s
Iter 43, obj:-69.25757131, gap:3.6e-02, pinf:8.2e-02, dinf:1.6e-02, gradnorm:7.1e+00, r:126, p:126, sigma:64.000, time:50.67s
Iter 44, obj:-70.51681303, gap:4.6e-02, pinf:7.2e-02, dinf:1.1e-02, gradnorm:6.5e+00, r:132, p:132, sigma:64.000, time:52.12s
Iter 45, obj:-57.63051947, gap:4.8e-02, pinf:5.5e-02, dinf:2.1e-03, gradnorm:4.4e-01, r:138, p:138, sigma:64.000, time:56.22s
Iter 46, obj:-57.69313096, gap:4.0e-02, pinf:3.5e-02, dinf:5.7e-03, gradnorm:7.8e-01, r:144, p:144, sigma:128.000, time:60.14s
Iter 47, obj:-57.55567947, gap:3.5e-02, pinf:3.4e-02, dinf:1.1e-02, gradnorm:6.8e-01, r:150, p:150, sigma:128.000, time:62.69s
Iter 48, obj:-59.04216306, gap:1.8e-02, pinf:3.3e-02, dinf:1.3e-02, gradnorm:2.1e+00, r:156, p:156, sigma:128.000, time:65.20s
